,05M12,303,basinwide_average
1908-10-01,-999.0,-999.0,-999.9
1908-11-01,-999.0,-999.0,-999.9
1908-12-01,-999.0,-999.0,-999.9
1909-01-01,-999.0,-999.0,-999.9
1909-02-01,-999.0,-999.0,-999.9
1909-03-01,-999.0,-999.0,-999.9
1909-04-01,-999.0,-999.0,-999.9
1909-05-01,-999.0,-999.0,-999.9
1909-06-01,-999.0,-999.0,-999.9
1909-07-01,-999.0,-999.0,-999.9
1909-08-01,-999.0,-999.0,-999.9
1909-09-01,-999.0,-999.0,-999.9
1909-10-01,-999.0,-999.0,-999.9
1909-11-01,-999.0,-999.0,-999.9
1909-12-01,-999.0,-999.0,-999.9
1910-01-01,-999.0,-999.0,-999.9
1910-02-01,-999.0,-999.0,-999.9
1910-03-01,-999.0,-999.0,-999.9
1910-04-01,-999.0,-999.0,-999.9
1910-05-01,-999.0,-999.0,-999.9
1910-06-01,-999.0,-999.0,-999.9
1910-07-01,-999.0,-999.0,-999.9
1910-08-01,-999.0,-999.0,-999.9
1910-09-01,-999.0,-999.0,-999.9
1910-10-01,-999.0,-999.0,-999.9
1910-11-01,-999.0,-999.0,-999.9
1910-12-01,-999.0,-999.0,-999.9
1911-01-01,-999.0,-999.0,-999.9
1911-02-01,-999.0,-999.0,-999.9
1911-03-01,-999.0,-999.0,-999.9
1911-04-01,-999.0,-999.0,-999.9
1911-05-01,-999.0,-999.0,-999.9
1911-06-01,-999.0,-999.0,-999.9
1911-07-01,-999.0,-999.0,-999.9
1911-08-01,-999.0,-999.0,-999.9
1911-09-01,-999.0,-999.0,-999.9
1911-10-01,-999.0,-999.0,-999.9
1911-11-01,-999.0,-999.0,-999.9
1911-12-01,-999.0,-999.0,-999.9
1912-01-01,-999.0,-999.0,-999.9
1912-02-01,-999.0,-999.0,-999.9
1912-03-01,-999.0,-999.0,-999.9
1912-04-01,-999.0,-999.0,-999.9
1912-05-01,-999.0,-999.0,-999.9
1912-06-01,-999.0,-999.0,-999.9
1912-07-01,-999.0,-999.0,-999.9
1912-08-01,-999.0,-999.0,-999.9
1912-09-01,-999.0,-999.0,-999.9
1912-10-01,-999.0,-999.0,-999.9
1912-11-01,-999.0,-999.0,-999.9
1912-12-01,-999.0,-999.0,-999.9
1913-01-01,-999.0,-999.0,-999.9
1913-02-01,-999.0,-999.0,-999.9
